"","category","name","reviewer","review","date","ratings"
"1","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","John Roy","The lead in this pencil is perfect for writing. It’s firm and smooth. The eraser is of great quality as you’d expect from steadler. Worth every penny.","Reviewed in the United Kingdom on 25 February 2024","4.7 out of 5 stars"
"2","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Nicolas","I always go for Staedtler pencils - good nib and the best eraser.","Reviewed in the United Kingdom on 23 January 2023","5.0 out of 5 stars"
"3","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","John Roy","Good quality from this brand great for kids","Reviewed in the United Kingdom on 25 February 2024","3.0 out of 5 stars"
"4","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Andrew B. Johnston","I got the STAEDTLER 122-2 Noris Pencil and it's solid for everyday use. It writes and sketches well with a comfy grip. The built-in eraser is handy for fixing mistakes.The positives: Writes smoothly, easy to use, comfy grip, and the eraser works for light fixes.The negatives: Eraser wears down fast, and the pencil feels a bit light. Erasing a lot might leave faint marks.Overall, it's a good pencil, but the eraser could be sturdier.","Reviewed in the United Kingdom on 6 March 2024","5.0 out of 5 stars"
"5","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Aaron","Very happy with this type of pencil it suits the purpose admirably and last a long time","Reviewed in the United Kingdom on 13 February 2024","5.0 out of 5 stars"
"6","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Rick Taylor","Tried propelling pencil never have enough lead, these are basic pencils but do the job excellently","Reviewed in the United Kingdom on 19 November 2023","5.0 out of 5 stars"
"7","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","North West Reader","As described; perfect for crosswords, nice and clear, easy to sharpen and  soft enough to rub out. Quality!","Reviewed in the United Kingdom on 23 February 2024","4.0 out of 5 stars"
"8","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Debra","Nice pencils","Reviewed in the United Kingdom on 27 February 2024","5.0 out of 5 stars"
"9","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","doris","These pencils are made with ""Upcycled Wood"" (sawdust and offcuts, in effect). I find this means they are less rigid when compared to the traditioal cedar pencils, and though they sharpen smoothly, they do not write as dark. Plus, they lose the classic cedar wood smell. Not a seller fault, purely the product Staedtler have chosen to make.","Reviewed in the United Kingdom on 27 December 2023","5.0 out of 5 stars"
"10","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Mark Silverback","Great pencils","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"11","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","John Roy","The lead in this pencil is perfect for writing. It’s firm and smooth. The eraser is of great quality as you’d expect from steadler. Worth every penny.","Reviewed in the United Kingdom on 25 February 2024","4.7 out of 5 stars"
"12","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Nicolas","I always go for Staedtler pencils - good nib and the best eraser.","Reviewed in the United Kingdom on 23 January 2023","5.0 out of 5 stars"
"13","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","John Roy","Good quality from this brand great for kids","Reviewed in the United Kingdom on 25 February 2024","3.0 out of 5 stars"
"14","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Andrew B. Johnston","I got the STAEDTLER 122-2 Noris Pencil and it's solid for everyday use. It writes and sketches well with a comfy grip. The built-in eraser is handy for fixing mistakes.The positives: Writes smoothly, easy to use, comfy grip, and the eraser works for light fixes.The negatives: Eraser wears down fast, and the pencil feels a bit light. Erasing a lot might leave faint marks.Overall, it's a good pencil, but the eraser could be sturdier.","Reviewed in the United Kingdom on 6 March 2024","5.0 out of 5 stars"
"15","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Aaron","Very happy with this type of pencil it suits the purpose admirably and last a long time","Reviewed in the United Kingdom on 13 February 2024","5.0 out of 5 stars"
"16","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Rick Taylor","Tried propelling pencil never have enough lead, these are basic pencils but do the job excellently","Reviewed in the United Kingdom on 19 November 2023","5.0 out of 5 stars"
"17","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","North West Reader","As described; perfect for crosswords, nice and clear, easy to sharpen and  soft enough to rub out. Quality!","Reviewed in the United Kingdom on 23 February 2024","4.0 out of 5 stars"
"18","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Debra","Nice pencils","Reviewed in the United Kingdom on 27 February 2024","5.0 out of 5 stars"
"19","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","doris","These pencils are made with ""Upcycled Wood"" (sawdust and offcuts, in effect). I find this means they are less rigid when compared to the traditioal cedar pencils, and though they sharpen smoothly, they do not write as dark. Plus, they lose the classic cedar wood smell. Not a seller fault, purely the product Staedtler have chosen to make.","Reviewed in the United Kingdom on 27 December 2023","5.0 out of 5 stars"
"20","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Mark Silverback","Great pencils","Reviewed in the United Kingdom on 12 February 2024","5.0 out of 5 stars"
"21","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","John Roy","The lead in this pencil is perfect for writing. It’s firm and smooth. The eraser is of great quality as you’d expect from steadler. Worth every penny.","Reviewed in the United Kingdom on 25 February 2024","4.7 out of 5 stars"
"22","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Nicolas","I always go for Staedtler pencils - good nib and the best eraser.","Reviewed in the United Kingdom on 23 January 2023","5.0 out of 5 stars"
"23","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","John Roy","Good quality from this brand great for kids","Reviewed in the United Kingdom on 25 February 2024","3.0 out of 5 stars"
"24","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Andrew B. Johnston","I got the STAEDTLER 122-2 Noris Pencil and it's solid for everyday use. It writes and sketches well with a comfy grip. The built-in eraser is handy for fixing mistakes.The positives: Writes smoothly, easy to use, comfy grip, and the eraser works for light fixes.The negatives: Eraser wears down fast, and the pencil feels a bit light. Erasing a lot might leave faint marks.Overall, it's a good pencil, but the eraser could be sturdier.","Reviewed in the United Kingdom on 6 March 2024","5.0 out of 5 stars"
"25","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Aaron","Very happy with this type of pencil it suits the purpose admirably and last a long time","Reviewed in the United Kingdom on 13 February 2024","5.0 out of 5 stars"
"26","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","Rick Taylor","Tried propelling pencil never have enough lead, these are basic pencils but do the job excellently","Reviewed in the United Kingdom on 19 November 2023","5.0 out of 5 stars"
"27","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","North West Reader","As described; perfect for crosswords, nice and clear, easy to sharpen and  soft enough to rub out. Quality!","Reviewed in the United Kingdom on 23 February 2024","4.0 out of 5 stars"
